light,collisions,fatal,share_of_collisions,fatal_share,condition_type,rdsfcond,road_class
Daylight,4285,521,0.566,0.1216,light,,
Dark with Artificial Lighting,1573,242,0.2078,0.1538,light,,
Dark,1314,222,0.1736,0.1689,light,,
Dusk with Artificial Lighting,115,16,0.0152,0.1391,light,,
Dusk,99,15,0.0131,0.1515,light,,
Daylight with Artificial Lighting,83,9,0.011,0.1084,light,,
Dawn with Artificial Lighting,52,10,0.0069,0.1923,light,,
Dawn,48,6,0.0063,0.125,light,,
Other,2,1,0.0003,,light,,
,6073,813,0.8034,0.1339,rdsfcond,Dry,
,1274,179,0.1685,0.1405,rdsfcond,Wet,
,64,5,0.0085,0.0781,rdsfcond,Loose Snow,
,57,20,0.0075,0.3509,rdsfcond,Other,
,38,4,0.005,0.1053,rdsfcond,Slush,
,25,3,0.0033,,rdsfcond,Ice,
,21,6,0.0028,,rdsfcond,Packed Snow,
,6,0,0.0008,,rdsfcond,Loose Sand or Gravel,
,1,0,0.0001,,rdsfcond,Spilled Liquid,
,5081,727,0.6973,0.1431,road_class,,Major Arterial
,1226,151,0.1682,0.1232,road_class,,Minor Arterial
,459,56,0.063,0.122,road_class,,Collector
,392,56,0.0538,0.1429,road_class,,Local
,76,18,0.0104,0.2368,road_class,,Expressway
,20,4,0.0027,,road_class,,Expressway Ramp
,11,0,0.0015,,road_class,,Other
,9,2,0.0012,,road_class,,Major Arterial Ramp
,6,3,0.0008,,road_class,,Laneway
,3,0,0.0004,,road_class,,Pending
,2,0,0.0003,,road_class,,Major Shoreline
,2,0,0.0003,,road_class,,Private Property
