neighbourhood,ksi_collisions,fatal_collisions,fatal_share
West Humber-Clairville,234,37,0.1581
South Riverdale,150,13,0.0867
Yonge-Bay Corridor,136,9,0.0662
Wexford/Maryvale,131,28,0.2137
St Lawrence-East Bayfront-The Islands,120,15,0.125
Moss Park,116,14,0.1207
South Parkdale,114,26,0.2281
Kensington-Chinatown,112,14,0.125
Clairlea-Birchmount,106,21,0.1981
Annex,105,9,0.0857
Etobicoke City Centre,100,17,0.17
York University Heights,99,15,0.1515
Wellington Place,98,5,0.051
Milliken,97,15,0.1546
Downtown Yonge East,88,7,0.0795
