year,ksi_collisions,pedestrian,cyclist,motorcyclist
2006,481,0.4428,0.1123,0.0686
2007,453,0.4106,0.0883,0.0552
2008,417,0.4388,0.0983,0.0695
2009,438,0.4589,0.0982,0.0845
2010,400,0.4525,0.105,0.1025
2011,400,0.465,0.13,0.0975
2012,453,0.4437,0.1589,0.1104
2013,431,0.4756,0.1531,0.1067
2014,350,0.4171,0.1286,0.1143
2015,350,0.4086,0.1457,0.1114
2016,386,0.443,0.1062,0.1425
2017,392,0.426,0.1403,0.1173
2018,422,0.4929,0.1043,0.1209
2019,367,0.4632,0.1253,0.1362
2020,270,0.4556,0.1222,0.1741
2021,270,0.4259,0.0778,0.1704
2022,295,0.3898,0.1254,0.1695
2023,334,0.5,0.1407,0.1377
2024,296,0.4595,0.152,0.1284
2025,254,0.4331,0.1339,0.126
