year,ksi_collisions,fatal_collisions,people_involved,people_killed,people_seriously_injured,deaths_per_100_collisions
2006,481,57,1483,57,488,11.9
2007,453,47,1474,51,442,11.3
2008,417,51,1239,54,394,12.9
2009,438,45,1242,48,431,11.0
2010,400,42,1190,43,402,10.8
2011,400,35,1181,35,392,8.8
2012,453,44,1348,44,430,9.7
2013,431,63,1232,63,401,14.6
2014,350,51,916,51,330,14.6
2015,350,65,929,65,320,18.6
2016,386,76,1006,78,337,20.2
2017,392,62,980,63,352,16.1
2018,422,66,1074,66,382,15.6
2019,367,63,940,64,330,17.4
2020,270,40,640,40,246,14.8
2021,270,58,656,60,241,22.2
2022,295,48,730,50,264,16.9
2023,334,43,770,45,301,13.5
2024,296,46,725,50,266,16.9
2025,254,34,616,40,232,15.7
